;raceId;year;round;circuitId;name_x;date;resultId;driverId;constructorId;position;points;Pointsinday;laps;rank;fastestLapTime;fastestLapSpeed;driverRef;number_y;code;forename;surname;nationality;name_y;location;country;lat;lng
6;1031;2020;1;70;Austrian Grand Prix;2020-07-05;24629;1;131;4;12;12;71;3;1:07.712;229.572;hamilton;44;HAM;Lewis;Hamilton;British;Red Bull Ring;Spielburg;Austria;47,2197;14,7647
7;1032;2020;2;70;Styrian Grand Prix;2020-07-12;24646;1;131;1;25;37;71;3;1:06.719;232.989;hamilton;44;HAM;Lewis;Hamilton;British;Red Bull Ring;Spielburg;Austria;47,2197;14,7647
43;1033;2020;3;11;Hungarian Grand Prix;2020-07-19;24666;1;131;1;26;63;70;1;1:16.627;205.823;hamilton;44;HAM;Lewis;Hamilton;British;Hungaroring;Budapest;Hungary;47,5789;19,2486
66;1034;2020;4;9;British Grand Prix;2020-08-02;24686;1;131;1;25;88;52;3;1:29.238;237.652;hamilton;44;HAM;Lewis;Hamilton;British;Silverstone Circuit;Silverstone;UK;52,0786;-1,01694
67;1035;2020;5;9;70th Anniversary Grand Prix;2020-08-09;24707;1;131;2;19;107;52;1;1:28.451;239.766;hamilton;44;HAM;Lewis;Hamilton;British;Silverstone Circuit;Silverstone;UK;52,0786;-1,01694
103;1036;2020;6;4;Spanish Grand Prix;2020-08-16;24726;1;131;1;25;132;66;2;1:19.822;209.942;hamilton;44;HAM;Lewis;Hamilton;British;Circuit de Barcelona-Catalunya;Montmeló;Spain;41,57;2,26111
123;1037;2020;7;13;Belgian Grand Prix;2020-08-30;24746;1;131;1;25;157;44;2;1:47.758;233.990;hamilton;44;HAM;Lewis;Hamilton;British;Circuit de Spa-Francorchamps;Spa;Belgium;50,4372;5,97139
143;1038;2020;8;14;Italian Grand Prix;2020-09-06;24772;1;131;7;7;164;53;1;1:22.746;252.033;hamilton;44;HAM;Lewis;Hamilton;British;Autodromo Nazionale di Monza;Monza;Italy;45,6156;9,28111
163;1039;2020;9;76;Tuscan Grand Prix;2020-09-13;24786;1;131;1;26;190;59;1;1:18.833;239.518;hamilton;44;HAM;Lewis;Hamilton;British;Autodromo Internazionale del Mugello;Mugello;Italy;43,9975;11,3719
183;1040;2020;10;71;Russian Grand Prix;2020-09-27;24808;1;131;3;15;205;53;7;1:38.075;214.660;hamilton;44;HAM;Lewis;Hamilton;British;Sochi Autodrom;Sochi;Russia;43,4057;39,9578
203;1041;2020;11;20;Eifel Grand Prix;2020-10-11;24826;1;131;1;25;230;60;2;1:28.145;210.253;hamilton;44;HAM;Lewis;Hamilton;British;Nürburgring;Nürburg;Germany;50,3356;6,9475
223;1042;2020;12;75;Portuguese Grand Prix;2020-10-25;24846;1;131;1;26;256;66;1;1:18.750;212.708;hamilton;44;HAM;Lewis;Hamilton;British;Autódromo Internacional do Algarve;Portimão;Portugal;37,227;-8,6267
243;1043;2020;13;21;Emilia Romagna Grand Prix;2020-11-01;24866;1;131;1;26;282;63;1;1:15.484;234.121;hamilton;44;HAM;Lewis;Hamilton;British;Autodromo Enzo e Dino Ferrari;Imola;Italy;44,3439;11,7167
263;1044;2020;14;5;Turkish Grand Prix;2020-11-15;24886;1;131;1;25;307;58;6;1:39.413;193.302;hamilton;44;HAM;Lewis;Hamilton;British;Istanbul Park;Istanbul;Turkey;40,9517;29,405
286;1045;2020;15;3;Bahrain Grand Prix;2020-11-29;24906;1;131;1;25;332;57;3;1:32.864;209.803;hamilton;44;HAM;Lewis;Hamilton;British;Bahrain International Circuit;Sakhir;Bahrain;26,0325;50,5106
323;1047;2020;17;24;Abu Dhabi Grand Prix;2020-12-13;24948;1;131;3;15;347;55;5;1:41.420;197.144;hamilton;44;HAM;Lewis;Hamilton;British;Yas Marina Circuit;Abu Dhabi;UAE;24,4672;54,6031
26;1031;2020;1;70;Austrian Grand Prix;2020-07-05;24639;8;51;\N;0;0;53;12;1:09.031;225.185;raikkonen;7;RAI;Kimi;Räikkönen;Finnish;Red Bull Ring;Spielburg;Austria;47,2197;14,7647
27;1032;2020;2;70;Styrian Grand Prix;2020-07-12;24656;8;51;11;0;0;70;14;1:08.382;227.322;raikkonen;7;RAI;Kimi;Räikkönen;Finnish;Red Bull Ring;Spielburg;Austria;47,2197;14,7647
53;1033;2020;3;11;Hungarian Grand Prix;2020-07-19;24680;8;51;15;0;0;69;17;1:20.889;194.978;raikkonen;7;RAI;Kimi;Räikkönen;Finnish;Hungaroring;Budapest;Hungary;47,5789;19,2486
84;1034;2020;4;9;British Grand Prix;2020-08-02;24702;8;51;17;0;0;51;11;1:29.973;235.710;raikkonen;7;RAI;Kimi;Räikkönen;Finnish;Silverstone Circuit;Silverstone;UK;52,0786;-1,01694
85;1035;2020;5;9;70th Anniversary Grand Prix;2020-08-09;24720;8;51;15;0;0;51;18;1:31.756;231.130;raikkonen;7;RAI;Kimi;Räikkönen;Finnish;Silverstone Circuit;Silverstone;UK;52,0786;-1,01694
113;1036;2020;6;4;Spanish Grand Prix;2020-08-16;24739;8;51;14;0;0;65;7;1:21.888;204.645;raikkonen;7;RAI;Kimi;Räikkönen;Finnish;Circuit de Barcelona-Catalunya;Montmeló;Spain;41,57;2,26111
